"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","536","Withdraw entire balance leaves zero","","2026-02-23","broken","2026-02-23","","org.example.customer.WithdrawTest","org.example.customer.WithdrawTest","testWithdrawEntireBalance"
"","2289","Create a Rupee account for Hermoine Granger","","2026-02-23","broken","2026-02-23","","org.example.manager.CreateAccountTest","org.example.manager.CreateAccountTest","testCreateRupeeAccount"
"","552","Deleted customer can no longer log in","","2026-02-23","broken","2026-02-23","","org.example.manager.DeleteCustomerTest","org.example.manager.DeleteCustomerTest","testDeletedCustomerCannotLogin"
"","395","Add customer with special characters - app accepts it","","2026-02-23","broken","2026-02-23","","org.example.manager.AddCustomerTest","org.example.manager.AddCustomerTest","testAddCustomerWithSpecialCharacters"
"","1332","Valid withdrawal updates balance correctly","","2026-02-23","broken","2026-02-23","","org.example.customer.WithdrawTest","org.example.customer.WithdrawTest","testValidWithdrawal"
"","1066","Add customer with numeric name - app accepts it","","2026-02-23","broken","2026-02-23","","org.example.manager.AddCustomerTest","org.example.manager.AddCustomerTest","testAddCustomerWithNumericName"
"","1760","Create a Pound account for Ron Weasley","","2026-02-23","broken","2026-02-23","","org.example.manager.CreateAccountTest","org.example.manager.CreateAccountTest","testCreatePoundAccount"
"","496","Withdrawal is recorded in transaction history","","2026-02-23","broken","2026-02-23","","org.example.customer.TransactionTest","org.example.customer.TransactionTest","testWithdrawalIsRecorded"
"","454","Transaction history shows reset button for view reset only","","2026-02-23","broken","2026-02-23","","org.example.customer.TransactionTest","org.example.customer.TransactionTest","testCustomerCannotResetTransactions"
"","572","Add customer with invalid post code - app accepts it","","2026-02-23","broken","2026-02-23","","org.example.manager.AddCustomerTest","org.example.manager.AddCustomerTest","testAddCustomerWithInvalidPostCode"
"","43244","Create a Dollar account for Harry Potter","","2026-02-23","broken","2026-02-23","","org.example.manager.CreateAccountTest","org.example.manager.CreateAccountTest","testCreateDollarAccount"
"","510","Add a valid customer successfully","","2026-02-23","broken","2026-02-23","","org.example.manager.AddCustomerTest","org.example.manager.AddCustomerTest","testAddValidCustomer"
"","655","Deposit is recorded in transaction history","","2026-02-23","broken","2026-02-23","","org.example.customer.TransactionTest","org.example.customer.TransactionTest","testDepositIsRecorded"
"","591","Withdraw more than balance does not update balance","","2026-02-23","broken","2026-02-23","","org.example.customer.WithdrawTest","org.example.customer.WithdrawTest","testWithdrawMoreThanBalance"
"","437","Multiple amount deposits accumulate correctly","","2026-02-23","broken","2026-02-23","","org.example.customer.DepositTest","org.example.customer.DepositTest","testMultipleDeposits"
"","4225","Customer without account is not available in login dropdown","","2026-02-23","broken","2026-02-23","","org.example.manager.CreateAccountTest","org.example.manager.CreateAccountTest","testCustomerCannotLoginWithoutAccount"
"","677","Delete an existing customer successfully","","2026-02-23","broken","2026-02-23","","org.example.manager.DeleteCustomerTest","org.example.manager.DeleteCustomerTest","testDeleteExistingCustomer"
"","367","Zero withdrawal does not update balance","","2026-02-23","broken","2026-02-23","","org.example.customer.WithdrawTest","org.example.customer.WithdrawTest","testWithdrawZeroAmount"
"","349","Zero amount  deposit does not update balance","","2026-02-23","broken","2026-02-23","","org.example.customer.DepositTest","org.example.customer.DepositTest","testDepositZeroAmount"
"","648","Negative amount deposit does not update balance","","2026-02-23","broken","2026-02-23","","org.example.customer.DepositTest","org.example.customer.DepositTest","testDepositNegativeAmount"
"","448","Transaction count increases after each operation","","2026-02-23","broken","2026-02-23","","org.example.customer.TransactionTest","org.example.customer.TransactionTest","testTransactionCountIncreasesAfterEachOperation"
"","474","Valid amount deposit updates balance correctly","","2026-02-23","broken","2026-02-23","","org.example.customer.DepositTest","org.example.customer.DepositTest","testValidDeposit"
"","361","Negative withdrawal does not update balance","","2026-02-23","broken","2026-02-23","","org.example.customer.WithdrawTest","org.example.customer.WithdrawTest","testWithdrawNegativeAmount"
"","578","Customer list count decreases after deletion","","2026-02-23","broken","2026-02-23","","org.example.manager.DeleteCustomerTest","org.example.manager.DeleteCustomerTest","testCustomerListUpdatesAfterDeletion"
"","429","Empty fields prevent submission","","2026-02-23","broken","2026-02-23","","org.example.manager.AddCustomerTest","org.example.manager.AddCustomerTest","testAddCustomerWithEmptyFields"
